기관명,자치구,주소원문,주소정제,latitude,longitude,matched_address,주소재시도
(사)고령사회고용진흥원,영등포구,"서울특별시 영등포구 경인로 775 (문래동3가) 								1동 618호",서울특별시 영등포구 경인로 775,37.51474642,126.8975368,서울 영등포구 경인로 775,서울특별시 영등포구 경인로 775
(사)대한노인회 강남구지회,강남구,서울특별시 강남구 선릉로 706 (청담동),서울특별시 강남구 선릉로 706,37.51809377,127.041252,서울 강남구 선릉로 706,서울특별시 강남구 선릉로 706
(사)벤처기업협회,구로구,서울특별시 구로구 디지털로30길 28 (구로동),서울특별시 구로구 디지털로30길 28,37.48210794,126.8952815,서울 구로구 디지털로30길 28,서울특별시 구로구 디지털로30길 28
(사)서울고용포럼,강동구,"서울특별시 강동구 천호대로151길 36(천호동) 								3층 서울고용포럼 사무국",서울특별시 강동구 천호대로151길 36,37.54063525,127.1235668,서울 강동구 천호대로151길 36,서울특별시 강동구 천호대로151길 36
(사)하늘터노인복지회,관악구,"서울특별시 관악구 관악로 109 (봉천동) 								2층",서울특별시 관악구 관악로 109,37.4748804,126.9524721,서울 관악구 관악로 109,서울특별시 관악구 관악로 109
(사)한국가사노동자협회,영등포구,"서울특별시 영등포구 국제금융로6길 26 (여의도동) 								904호",서울특별시 영등포구 국제금융로6길 26,37.52195469,126.9269736,서울 영등포구 국제금융로6길 26,서울특별시 영등포구 국제금융로6길 26
(사)한국경비협회,성동구,"서울특별시 성동구 성수이로20길 10 (성수동2가) 								경협회관 5층",서울특별시 성동구 성수이로20길 10,37.54322764,127.0576415,서울 성동구 성수이로20길 10,서울특별시 성동구 성수이로20길 10
(사)한국경영혁신중소기업협회,종로구,"서울특별시 종로구 종로 413 (숭인동) 								2층",서울특별시 종로구 종로 413,37.57597791,127.0225356,서울 종로구 종로 413,서울특별시 종로구 종로 413
(사)한국안정교육협회서울분소,광진구,서울특별시 광진구 자양로49길 16-7 (구의동),서울특별시 광진구 자양로49길 16-7,37.55310876,127.0920935,서울 광진구 자양로49길 16-7,서울특별시 광진구 자양로49길 16-7
(사)한국은빛희망협회,영등포구,서울특별시 영등포구 영신로 200,서울특별시 영등포구 영신로 200,37.52516742,126.9032996,서울 영등포구 영신로 200,서울특별시 영등포구 영신로 200
(사)한국진로직업개발원,서초구,"서울특별시 서초구 강남대로10길 65 (양재동) 								3층",서울특별시 서초구 강남대로10길 65,37.46993209,127.0424378,서울 서초구 강남대로10길 65,서울특별시 서초구 강남대로10길 65
(사)한국취업컨설턴트협회,영등포구,서울특별시 영등포구 국제금융로 8길 34,서울특별시 영등포구 국제금융로 8길 34,37.52023628,126.9272382,서울 영등포구 국제금융로8길 34,서울특별시 영등포구 국제금융로 8길 34
(주)리부트코리아,영등포구,"서울특별시 영등포구 영신로19길 28(영등포동) 								2층",서울특별시 영등포구 영신로19길 28,37.51364849,126.9050052,서울 영등포구 영신로19길 28,서울특별시 영등포구 영신로19길 28
(주)메이크인,중구,서울특별시 중구신당동 다산로 태양빌딩 6층,서울특별시 중구 퇴계로 344,37.56436782,127.0096812,서울 중구 퇴계로 344,서울특별시 중구 퇴계로 344
(주)블루안컨설팅,성동구,서울특별시 성동구 왕십리로 58 (성수동1가),서울특별시 성동구 왕십리로 58,37.54269588,127.0452053,서울 성동구 왕십리로 58,서울특별시 성동구 왕십리로 58
(주)사람마중,은평구,"서울특별시 은평구 통일로 856(불광동) 								3008호",서울특별시 은평구 통일로 856,37.61962267,126.9215229,서울 은평구 통일로 856,서울특별시 은평구 통일로 856
(주)송지,강서구,"서울특별시 강서구 초원로 16-1(방화동) 								3층",서울특별시 강서구 초원로 16-1,37.56766548,126.8072046,서울 강서구 초원로 16-1,서울특별시 강서구 초원로 16-1
(주)유니에스,강남구,"서울특별시 강남구 선릉로 514(삼성동) 								11층",서울특별시 강남구 선릉로 514,37.50560237,127.0491627,서울 강남구 선릉로 514,서울특별시 강남구 선릉로 514
(주)잡모아,양천구,"서울특별시 양천구 오목로 180 (신정동) 								평화빌딩 4층",서울특별시 양천구 오목로 180,37.52498315,126.8573995,서울 양천구 오목로 180,서울특별시 양천구 오목로 180
(주)제이엠커리어 서울서부,마포구,"서울특별시 마포구 만리재로 15(공덕동) 								1303~1304호",서울특별시 마포구 만리재로 15,37.54458493,126.9527677,서울 마포구 만리재로 15,서울특별시 마포구 만리재로 15
(주)지에스씨넷 서울지점,서초구,"서울특별시 서초구 강남대로41길 8(서초동) 								5층",서울특별시 서초구 강남대로41길 8,37.48727416,127.0319217,서울 서초구 강남대로41길 8,서울특별시 서초구 강남대로41길 8
(주)커리어넷,구로구,"서울특별시 구로구 디지털로 273 (구로동) 								2층 205호",서울특별시 구로구 디지털로 273,37.48395432,126.8941033,서울 구로구 디지털로 273,서울특별시 구로구 디지털로 273
(주)티이에스,강남구,"서울특별시 강남구역삼동 테헤란로37길 								영남빌딩 4층",서울특별시 강남구 테헤란로37길 15,37.50315316,127.0403879,서울 강남구 테헤란로37길 15,서울특별시 강남구 테헤란로37길 15
The Bank 신한동우회,서대문구,"서울 서대문구 충정로 77 								5층",서울특별시 서대문구 충정로 77,37.56551037,126.965979,서울 서대문구 충정로 77,서울특별시 서대문구 충정로 77
가양7종합사회복지관,강서구,"서울특별시 강서구 허준로 209 (가양동, 가양7단지아파트)",서울특별시 강서구 허준로 209,37.56173961,126.861588,서울 강서구 허준로 209,서울특별시 강서구 허준로 209
갈월종합사회복지관,용산구,"서울특별시 용산구 두텁바위로 25 (갈월동) 								갈월종합사회복지관 2층 복지과",서울특별시 용산구 두텁바위로 25,37.54581642,126.9748227,서울 용산구 두텁바위로 25,서울특별시 용산구 두텁바위로 25
갈현노인복지관,은평구,서울특별시 은평구 통일로89길 12-6 (갈현동),서울특별시 은평구 통일로89길 12-6,37.62488746,126.9186706,서울 은평구 통일로89길 12-6,서울특별시 은평구 통일로89길 12-6
강감찬관악종합사회복지관,관악구,"서울특별시 관악구 양녕로 74 (봉천동) 								구암빌딩 2층",서울특별시 관악구 양녕로 74,37.48852054,126.946656,서울 관악구 양녕로 74,서울특별시 관악구 양녕로 74
강남구노인통합지원센터,강남구,서울 강남구 봉은사로24길 70,서울특별시 강남구 봉은사로24길 70,37.50238865,127.0318772,서울 강남구 봉은사로24길 70,서울특별시 강남구 봉은사로24길 70
강남구립논현노인종합복지관,강남구,서울특별시 강남구 강남대로128길 59 (논현동),서울특별시 강남구 강남대로128길 59,37.51206542,127.026089,서울 강남구 강남대로128길 59,서울특별시 강남구 강남대로128길 59
강남노인종합복지관,강남구,"서울특별시 강남구 삼성로 628 (삼성동) 								4층 강남노인종합복지관",서울특별시 강남구 삼성로 628,37.51591066,127.0521426,서울 강남구 삼성로 628,서울특별시 강남구 삼성로 628
강남시니어플라자,강남구,서울특별시 강남구 봉은사로 332 (역삼동),서울특별시 강남구 봉은사로 332,37.50978716,127.0432183,서울 강남구 봉은사로 332,서울특별시 강남구 봉은사로 332
강남종합사회복지관,강남구,서울 강남구 개포로109길 5,서울특별시 강남구 개포로109길 5,37.492322,127.0746012,서울 강남구 개포로109길 5,서울특별시 강남구 개포로109길 5
강동구립 해공노인복지관,강동구,"서울특별시 강동구 천중로17길 42-16 (천호동) 								강동구립해공노인복지관",서울특별시 강동구 천중로17길 42-16,37.546212,127.1317141,서울 강동구 천중로17길 42-16,서울특별시 강동구 천중로17길 42-16
강동구청 어르신복지과,강동구,"서울특별시 강동구 성내로 25(성내동) 								어르신복지과",서울특별시 강동구 성내로 25,37.53016097,127.1237923,서울 강동구 성내로 25,서울특별시 강동구 성내로 25
강동노인종합복지관,강동구,"서울특별시 강동구 동남로71길 32-5 (명일동) 								2층 사무실",서울특별시 강동구 동남로71길 32-5,37.55221118,127.1546206,서울 강동구 동남로71길 32-5,서울특별시 강동구 동남로71길 32-5
강동종합사회복지관,강동구,"서울특별시 강동구 진황도로23길 7 (천호동) 								5-6층(천호3동 공공복합청사)",서울특별시 강동구 진황도로23길 7,37.53992761,127.1297726,서울 강동구 진황도로23길 7,서울특별시 강동구 진황도로23길 7
강북구청 복지국 어르신장애인과,강북구,서울특별시 강북구 도봉로89길 13 (수유동),서울특별시 강북구 도봉로89길 13,37.63918562,127.0254495,서울 강북구 도봉로89길 13,서울특별시 강북구 도봉로89길 13
강북노인종합복지관,강북구,"서울특별시 강북구수유동 삼양로92길 								40",서울특별시 강북구 삼양로92길 40,37.63568682,127.0187526,서울 강북구 삼양로92길 40,서울특별시 강북구 삼양로92길 40
강서50플러스센터,강서구,"서울특별시 강서구 강서로56가길 166 (등촌동) 								203동 강서50플러스센터",서울특별시 강서구 강서로56가길 166,37.56681307,126.8420946,서울 강서구 강서로56가길 166,서울특별시 강서구 강서로56가길 166
강서구립 곰달래어르신복지센터,강서구,서울특별시 강서구 강서로5길 50,서울특별시 강서구 강서로5길 50,37.52905997,126.8488982,서울 강서구 강서로5길 50,서울특별시 강서구 강서로5길 50
강서구립 봉제산노인복지센터,강서구,서울 강서구 초록마을로15길 12,서울특별시 강서구 초록마을로15길 12,37.54152282,126.8514079,서울 강서구 초록마을로15길 12,서울특별시 강서구 초록마을로15길 12
강서구립 연지노인복지센터,강서구,"서울특별시 강서구 화곡로58길 30-7(화곡동) 								1층",서울특별시 강서구 화곡로58길 30-7,37.55241466,126.8526628,서울 강서구 화곡로58길 30-7,서울특별시 강서구 화곡로58길 30-7
강서구청 어르신복지과,강서구,"서울특별시 강서구 화곡로 302 (화곡동) 								복지동 건물 4층 어르신복지과",서울특별시 강서구 화곡로 302,37.55096551,126.8495322,서울 강서구 화곡로 302,서울특별시 강서구 화곡로 302
강서노인종합복지관,강서구,"서울특별시 강서구등촌동 화곡로61길 								85",서울특별시 강서구 화곡로61길 85,37.5581232,126.8475516,서울 강서구 화곡로61길 85,서울특별시 강서구 화곡로61길 85
공릉종합사회복지관,노원구,"서울특별시 노원구 동일로 1127 (공릉동, 공릉1단지아파트)",서울특별시 노원구 동일로 1127,37.6295747,127.0698687,서울 노원구 동일로 1127,서울특별시 노원구 동일로 1127
관악구청 교육지원과,관악구,서울특별시 관악구 관악로 145 (봉천동),서울특별시 관악구 관악로 145,37.47821067,126.9515012,서울 관악구 관악로 145,서울특별시 관악구 관악로 145
관악구청 복지가족국 어르신복지과,관악구,서울특별시 관악구 관악로 145 (봉천동),서울특별시 관악구 관악로 145,37.47821067,126.9515012,서울 관악구 관악로 145,서울특별시 관악구 관악로 145
관악노인종합복지관,관악구,"서울특별시 관악구 보라매로 35  								관악노인종합복지관",서울특별시 관악구 보라매로 35,37.49304069,126.9263301,서울 관악구 보라매로 35,서울특별시 관악구 보라매로 35
